[2025-11-13 11:13:24] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:24] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:25] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:25] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:26] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:26] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:27] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:27] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:28] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:28] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:29] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:29] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:30] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:30] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:31] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:31] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:32] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:32] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:33] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:33] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:34] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:34] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:35] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:35] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:35] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:36] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:36] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:37] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:38] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:38] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:39] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:39] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:40] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:40] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:41] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:41] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:41] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:41] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:43] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:43] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:44] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:44] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:45] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:45] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:46] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:46] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:47] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:47] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:47] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:47] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:48] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:48] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:50] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:50] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:51] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:51] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:52] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:52] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:53] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:53] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:54] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:54] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:55] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:55] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:56] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:56] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:57] dev_tools_detected: Developer tools detected open (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
[2025-11-13 11:13:57] security_violation: Potential security violation detected (User: d5babc6bd2089bcab5496aaf7dcba60d7315c2dec0f3da1fe85262f9654acac7, IP: ::1)
